Раздел,Параметр,Weekend,Ф-ка «Старт»,Luza.ru,«Бильярд №1»,«Бильярд.ру»,Biliard-Expert,Top-Turnik/DFC,Billiard-Group,AvelonSport,8futov,Billiard-Prof,БС 1991,TablePlay,Бильярд Сити,Дом Спорта,ESBShop,Start-Line,Ф-ка «Игра»,Бильярдика,BilliRoom,РуптуР,1000Cues
Базовые параметры,Сайт,weekend-billiard.ru,fabrika-start.ru,luza.ru,billiard1.ru,billiard.ru,biliard-expert.ru,топ-турник.рф,billiard-group.ru,avelonsport.ru,8futov.ru,billiard-prof.ru,bs1991.ru,tableplay.ru,billiardhouse.ru,domsporta.com,esbshop.ru,start-line.ru,superigra.ru,billiardika.ru,billiroom.ru,ruptur-billiard.ru,1000cues.ru
Базовые параметры,Год основания,1996,1996,Нет данных,2000,1990,Нет данных,Нет данных,~2007,Нет данных,2005,1991 (сайт с 2010),1991,2012,2016,2009,Нет данных,1996,1991,~2015,2002,1994,~2011
Базовые параметры,Тип компании,Дистрибьютор / Ритейлер,Верт. интегр. производитель,Медиа-агрегатор / Ритейлер,Ритейлер + 2 собств. фабрики,Производитель / Легаси-бренд,Кросс-категорийный агрегатор,Масс-маркет ритейлер,Дистрибьютор / Ритейлер,Универс. спортивный ритейлер,Дистрибьютор / Ритейлер,Дистрибьютор / Интернет-магазин,Производитель + Дистрибьютор,Ритейлер (ИП),Региональный дилер,Мультиотрасл. спорт. ритейлер,Узкоспециализ. магазин + школа,Производитель (теннис+бильярд),Производитель премиум-бильярда,Интернет-магазин / Ритейлер,Дилер + бильярдный клуб,Эксклюз. дистрибьютор «Руптур-ПРО»,Специализ. магазин киев + салон
Базовые параметры,Штаб-квартира,Москва,Новосибирск,Нет данных,Москва,Москва,Нет данных,Нет данных,Москва,Новосибирск,Москва,Москва,Санкт-Петербург,Санкт-Петербург,Тюмень,Москва,Москва,Новосибирск,Истра (МО),Москва,Мытищи,Заречье (МО),Москва
Базовые параметры,Производство,Собств. кии; столы — контрактное,Полного цикла (15 000 м²),Нет,2 собств. фабрики,Собственное столярное,Нет,Нет (OEM DFC),Собств. ТМ киев (Dinamika Billiards),Да (ДСК — НЕ бильярд),Нет (дистрибуция),Частичное (аксессуары),Да (столы «Легенда»),Нет,Нет (торгует Стартом),Нет (150+ поставщиков),"Да (столы «Легенда», кии ESB)",Да (15 000 кв.м.),Да (г. Истра),Нет,Нет,Руптур-ПРО (Беларусь),Столы на заказ
Базовые параметры,Выставочные залы,"2 (Москва, СПб)","4+ (Нск, Мск + 7 стран)",1 (гипермаркет),Нет данных,2 (Москва),Нет данных,Нет данных,8–10 (7 городов + СНГ),1 (Новосибирск),0 (только склад),1 (Москва),1 (СПб),0 (офис),1 (Тюмень),0 (2000+ самовывоз),1 (ТЦ «Пятница») + клуб,"2 (Москва, Новосибирск)",0 (экскурсии),1 (Москва),1+1 (Мытищи+Мск),1 (офис),1 (3D-тур)
Базовые параметры,Ассортимент SKU,2 000+,2 267 (1299+704+264),Нет данных,8 000+,Широкий,5 696+,Компактный (DFC),~15 000,~10 000+,~3 000–5 000,~2 000+,700+,~3 000+,~600+,50 000+,~200–300,~20–30 + аксессуары,~60+ моделей,500+,~500–800,~196,~1 000+
Базовые параметры,Ценовой диапазон столов (₽),40 200 — 1 080 850+,3 290 — 2 086 200,~70 000 — 1 245 500,45 450 — сотни тысяч,Нет данных,Широкий,13 183 — 75 660,~15 000 — 1 500 000+,14 990 — ~200 000,~30 000 — ~600 000+,53 220 — 3 945 000,100 000 — 4 868 546,100 017 — 4 990 066,34 900 — 180 000,Нет данных,Нет данных,43 150 — 166 500,301 860 — 3 555 750,Широкий,~117 000 — ~269 000,~42 000 — ~513 000,На заказ
Базовые параметры,Ключевой бренд столов,"Rasson, Dynamic Billard","Собств. (Сибирь, Барон, Ренессанс)",Фабрика «Старт» (перепродажа),Нет данных,Собственное производство,Мультибренд,"DFC (Hobby, Vortex, Action)","Старт, Руптур, Dynamic, Toulet, MBM, Ursus","DFC, Старт, Руптур","Руптур, Старт, DFC, собств.","Руптур, Старт, Weekend, Dynamic, Rasson",Легенда (собств.),Не выражен (мультибренд),Старт (экскл. дилер в Тюмени),Мультибренд,Легенда (собств.),Start Line (собств.),Фабрика «Игра» (собств.),"Weekend, Arlington, Dynamic, Старт, Руптур","Арсенал, Виконт, Идальго, Синьор и др.",РуптуР (собств.),Собств. на заказ
Базовые параметры,Ключевой бренд киев,"Собств. (Vantex, Winner Carbon), Rasson, Viking, Cuetec",Собственные линейки,Мультибренд,Мультибренд,Собственные,Мультибренд,DFC,"Predator, Vantex, Viking, Dinamika Billiards (собств. ТМ)",Не специализируются на киях,Нет выраженного ключевого бренда,"CueTec, Predator, Vantex, Вараксин, Онищенко, Арисов","Легенда + авторские (Королев, Григорьев и др.)",Не выражен,"Vortex, ручной работы (Онищенко, Казанс Кий и др.)",Мультибренд,"Крыжановского, Мадаминова, ESB, Поповский",Не указан (собств. марки),Собственные кии ручной работы,"Разные (Пирамида, Пул, ручной работы)","Cuetec (фабричные), ручной работы",Не специализируются,"Арисов (пожизн. гарантия), Онищенко, Калиман, McDermott"
Базовые параметры,Ключевой бренд сукна,"Iwan Simonis, Rus Pro, Royal, Milliken",Собств. и партнёрские,Мультибренд,Мультибренд,Мультибренд,Мультибренд,Нет данных,Не указан на главной,Не указан,Не указан,"Iwan Simonis, Gorina, Milliken, Hainsworth, Eurosprint",Легенда (собств. линейка),Не выражен,"King, Kazino",Мультибренд,Не указан,Не указан,Не указан,Не указан,Не указан,Не указан,"Iwan Simonis, Manhattan, Grand"
Базовые параметры,Эксклюзивные контракты,"Rasson, Dynamic, Simonis, Viking, Cuetec","ФБСР, 18 чемпионатов мира",Нет,Нет,Нет,Нет,Нет,"Офиц. дилер Старт, Руптур, Dynamic, Toulet, MBM, Ursus",Офиц. представитель брендов (универс.),Сотрудничают с проверенными производителями,Не заявлены,Офиц. дистрибьютор киев «Легенда»; Ген. партнёр ФБС СПб,Нет,Дилер фабрики Старт в Тюмени,Офиц. дилер ряда брендов (не указано каких),Бауров + Сталев — амбассадоры,"Double Fish, Gambler (теннис)","BCA, EBC; Italardesia",Нет,Нет данных,ООО «Пирамида» — экскл. дистрибьютор «Руптур-ПРО»,Нет данных
Цифровое присутствие,CMS,1С-Битрикс,1С-Битрикс,1С-Битрикс (Аспро: Максимум),Нет данных,Нет данных,OpenCart,Нет данных,1C-Bitrix,1C-Bitrix,1C-Bitrix,1C-Bitrix (Aspro Max),DIRPRO (кастомная),1C-Bitrix,WordPress + WooCommerce,1C-Bitrix,Tilda,1С-Битрикс,Tilda,Webasyst / Shop-Script,Joomla (~1.5),Custom / MITGROUP,1С-Битрикс
Цифровое присутствие,SEO-продвижение,Самостоятельное,Проф. студия «ЯЛ»,Самостоятельное,Самостоятельное,Самостоятельное,Самостоятельное,Самостоятельное,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных
Цифровое присутствие,Индекс цифрового сходства,93%,N/A,100%,97%,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных
Цифровое присутствие,YouTube (подписчики),655,3 590,37 900,Нет данных,Нет данных,Нет,Нет,Нет данных,Нет данных,29,Нет канала,Есть,7,Нет данных,Нет данных,Нет данных,Нет данных,Есть (мало),Нет,Нет данных,Нет данных,Есть
Цифровое присутствие,YouTube (ролики),93,516,670+,Нет данных,Нет данных,Нет,Нет,Нет данных,Нет данных,57,Нет канала,Нет данных,29,Нет данных,Нет данных,Нет данных,Нет данных,~5–10,Нет,Нет данных,Нет данных,Нет данных
Цифровое присутствие,Соцсети,"VK, TG, YouTube, Rutube","VK, TG, YouTube, Instagram","YouTube, VK, TG, IG, FB, OK, Twitter, WhatsApp",10 платформ,"VK, TG, YouTube",VK (553 подп.),Нет данных,"VK, TG, YouTube, Instagram, Facebook","VK, TG, OK","VK, TG, YouTube, Instagram, WhatsApp, Rutube","VK, TG, WhatsApp","VK, TG, WhatsApp, Instagram",TG,Не найдено,VK,"VK, Facebook, Instagram, YouTube, TG","VK, TG, OK, Rutube","Instagram, Facebook, TG, WhatsApp",VK,Не обнаружены,Instagram,"Instagram, WhatsApp, YouTube"
Цифровое присутствие,Кредит / рассрочка,❌,✅ «Сплит» без переплаты,✅ (кнопка есть),"✅ (0-0-6, 4 банка)",❌,❌,❌,✅,❌,❌,"✅ (Халва, Tinkoff, Alfa, Sberbank)",❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
Цифровое присутствие,Онлайн-чат,❌,✅ Jivo,❌,✅ Jivo,✅ Jivo,❌,Нет данных,✅ Jivo + Яндекс,✅ Яндекс + Bitrix24,✅ Яндекс,⚠️ Callback + WA/TG,✅ JivoSite,⚠️ Callback,❌,✅ Jivo + Carrot,✅ Jivo,❌,❌,❌,❌,❌,⚠️ WA + «Задать вопрос»
Цифровое присутствие,Видеообзоры в карточках,❌,✅,⚠️ (скрыто),❌,❌,❌,❌,✅,❌,✅,✅,⚠️ Частично,❌,❌,❌,❌,❌,❌,❌,❌,❌,Нет данных
Цифровое присутствие,Конфигуратор стола,❌,✅ (лучший),❌,❌,⚠️ (тонировка),❌,❌,❌,❌,❌,✅ (3D),✅ (3D),✅ (3D),❌,❌,❌,❌,❌,❌,❌,❌,❌
Цифровое присутствие,«Купить в 1 клик»,❌,✅,❌,✅,❌,❌,Нет данных,✅,✅,✅,✅,✅,❌,❌,❌,❌,❌,❌,❌,✅,Нет данных,Нет данных
Цифровое присутствие,Кросс-селл,❌,✅ (лучший),✅,❌,✅,⚠️,Нет данных,✅,⚠️ Ограниченный,✅,✅,❌,❌,❌,⚠️ Неясно (AJAX),✅,❌,❌,❌,❌,✅ (комнаты),✅ (подарки к киям)
Цифровое присутствие,Лид-магнит / квиз,❌,⚠️ (подбор -10%),❌,❌,❌,❌,❌,❌,❌,❌,✅ (подбор стола),✅ (подбор),✅ (подбор),❌,❌,❌,✅ Marquiz,❌,❌,❌,❌,❌
Цифровое присутствие,Программа лояльности,❌,⚠️ (Старт Бонус),❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅ Бонусные баллы,⚠️ Промокод,❌,❌,❌,❌,❌,❌
Цифровое присутствие,Email-подписка,Частично (только подвал),Нет,✅,Нет,Нет,Нет,Нет данных,⚠️ Не обнаружена на главной,✅ «Подписывайтесь на новости»,❌,✅,✅,❌,❌,❌,❌,✅ (форма в футере),❌,❌,❌,❌,❌
Цифровое присутствие,Языковая версия,Только RU,RU + EN,RU,RU,RU,RU,RU,RU only,RU only,RU only,Только русский,Только русский,Только русский,Только RU,Только RU,Только RU,RU + EN,Только RU,Только RU,Только RU,RU + ENG,Только RU
Цифровое присутствие,Контент-маркетинг,"Статьи, FAQ","Энциклопедия, новости, FAQ","Видео-программа, розыгрыши",Минимальный,Минимальный,Минимальный,Минимальный,"Отзывы, эксперты",Статьи,✅ Блог,Блог + Новости,Минимальный,Минимальный,❌,⚠️ Публикации,⚠️ Трансляции,✅ Энциклопедия,"✅ СМИ (РБК, МатчТВ)",❌,❌,✅ 3 статьи,✅ Блог
Маркетинг и позиционирование,Позиционирование (слоган),Крупнейший поставщик бильярдного оборудования с 1996 г.; опт и розница,Ведущий российский производитель бильярдных столов с 1996 года,Нет данных,Гипермаркет №1 по бильярдному оборудованию в России; 200+ брендов,Первый в России производитель бильярдного оборудования и интерьеров; ручная работа,Специализированный интернет-магазин; с 1991 г.; бильярдный магазин №1 в Москве,Нет данных,Крупнейшая сеть выставочных залов бильярдного и игрового оборудования; 15 000+ товаров,Нет данных,Нет данных,Бильярдный интернет-магазин для профессиональных игроков и любителей; с 1991 г.,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных
Информационная архитектура,Состав страниц сайта,"Каталог, акции, статьи, FAQ, контакты; нет: О компании (404), FAQ (404), вакансии","Главная, Каталог, Производство, Проектирование, Покупателям, Клубы, О компании, Энциклопедия, FAQ, Отзывы",Нет данных,"Каталог, Акции, Наши работы, Услуги, Компания, Как купить, Контакты, Блог, Вопрос-ответ; личный кабинет, избранное, сравнение","Каталог, Эксклюзив, Услуги, Дизайнерам, Блог, Как купить, Компания (сотрудники, бренды, отзывы), На заказ","Столы, Игротека, Аксессуары, Интерьер, Комплектующие, Опт, Сервис, О компании, Оплата, Доставка, Кредит, Контакты",Нет данных,"Каталог (10 разделов), О компании, Наши работы, Монтаж, Доставка, Акции, Контакты, Эксперты, Клиенты, Награды, Отзывы, Гарантия, Рассрочка; избранное, сравнение",Нет данных,Нет данных,"Каталог, Акции, Услуги, Статьи, Бренды, Компания, Контакты, Помощь; Политика конфиденциальности",Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,
Информационная архитектура,Параметры карточки товара,"Название, цена, артикул, бренд, наличие, фото, кнопки (корзина, избранное, сравнить, быстрый заказ), характеристики (габариты, диаметр шара, лузы)","Название, артикул, цена, корзина, избранное, фото, краткое описание, гарантия, наличие, ссылки на категории",Нет данных,"Фото, название, артикул, цена (розничная + старая), корзина, «Хочу скидку», избранное, сравнить, рейтинг, варианты (основание, плита, материал, вид игры), метка «Скидка»","Название, цена, фото, «В корзину», «Отложить», «Сравнить», ссылка на страницу товара","Фото, название, цена, «В корзину», «Купить в 1 клик»; отзывов и оценок нет",Нет данных,"Фото (галерея), название, цена, метки-статусы («Предложение недели», «Кешбэк»), избранное, сравнить, «Подробнее»",Нет данных,Нет данных,"Фотогалерея, название, артикул, цена, «В корзину», «Купить в 1 клик», бренд, характеристики, описание, «Задать вопрос», «Ранее смотрели»",Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,
