Раздел,Параметр,Weekend,Ф-ка «Старт»,Luza.ru,«Бильярд №1»,«Бильярд.ру»,Biliard-Expert,Top-Turnik/DFC,Billiard-Group,AvelonSport,8futov,Billiard-Prof,БС 1991,TablePlay,Бильярд Сити,Дом Спорта,ESBShop,Start-Line,Ф-ка «Игра»,Бильярдика,BilliRoom,РуптуР,1000Cues
Информационная архитектура,Параметры фильтрации,"Цена, наличие, бренд, диаметр шара, материал поля, размер стола, размеры помещения, тип игры","Тип игры, размер стола, материал, ценовой диапазон, наличие, страна производства, размещение",Нет данных,"Цена, наличие, производитель, класс стола, тип игры, материал отделки, размер в футах, плита","Цена, наличие, производитель, класс стола, тип игры, материал, размер в футах, плита","Цена, размер (3–12 фут), тип поля, дизайн, тип ножек, диаметр шара, производитель",Нет данных,"Цена (слайдер), производитель, распродажа, тип игры, размер, игровое поле, толщина плиты, особенности стола",Нет данных,Нет данных,"Цена, тип игры, размер в футах, производитель; навигация по подкатегориям",Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,
Сервис и услуги,Бесплатная установка,✅ (300 км от Мск/СПб),✅,❌ (15 000₽ за 9ft),Нет данных,Нет данных,❌,❌,✅ (к столам на камне),❌,✅ (к столам на камне),❌ (платная),❌ (платная),❌ (10К–16К ₽),✅ (+ подарки),⚠️ Платная?,❌,❌ (платная),✅ (включено),❌,Нет данных,Нет данных,❌
Сервис и услуги,Демонтаж,Да,Да,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,⚠️ Не указан явно,❌,❌,Да,Да,❌,❌,❌,❌,❌,❌,❌,Да (входит в перетяжку),Нет данных,❌
Сервис и услуги,Перетяжка сукна,✅,✅,Нет данных,Нет данных,✅,Нет данных,Нет данных,⚠️ (реставрация),❌,✅,✅,✅,❌,✅,❌,❌,❌,❌,❌,✅ (по стандартам ФБСР),Нет данных,❌
Сервис и услуги,Брендирование столов,Да,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,❌,❌,"✅ «Цвет на заказ», «Элитный массив»",❌,❌,"✅ (от 10К ₽: плёнка, гравировка, УФ-печать)",❌,❌,❌,❌,✅ (экскл. проекты под интерьер),❌,Нет данных,Нет данных,✅ Гравировка на кий
Сервис и услуги,Проектирование бильярдных,❌,✅,Нет данных,Нет данных,✅ (кабинеты под ключ),Нет данных,Нет данных,⚠️,❌,❌,✅,❌,❌,⚠️ Замерщик,✅,✅ (под ключ),❌,✅ (архитекторы),❌,Нет данных,✅ (дизайн-проект бесплатно),❌
Сервис и услуги,Бильярд-консалтинг,Да,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,✅ (мастера спорта),❌,✅,✅ (помощь в выборе),✅ (подбор кия),✅ (по телефону),⚠️ Школа бильярда,❌,✅ (подбор кия 99%),❌,✅ (выезд к заказчику),❌,❌,✅ (помощь в подборе),"✅ (подбор, заказ по параметрам)"
Сервис и услуги,Гарантийное обслуживание,Через производителей,Прямое (собств. пр-во),Нет данных,Нет данных,Прямое,Нет данных,Нет данных,✅ (до 25 лет),✅,✅,✅,✅,✅,⚠️,✅,✅ (3 года на кии),6–12 мес.,✅ (паспорт качества),❌,⚠️ (404),⚠️ (404),✅ (до 5 лет; пожизн. Арисова)
Сервис и услуги,Постгарантийное обслуживание,Нет данных,Да,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных
Сервис и услуги,Оптовые продажи,✅,✅ (7 стран),Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,✅,⚠️,⚠️,❌,✅,⚠️,❌,✅ (B2B+B2G),❌,✅,❌,✅,Нет данных,✅,✅
Сервис и услуги,3D-туры,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,✅ 3D-тур салона
Сервис и услуги,Спортивное партнёрство,BetBoom ЛЧ,"ФБСР, 18 ЧМ",Нет,Нет,Нет,Нет,Нет,⚠️ Награды,❌,❌,❌,✅ ФБС СПб,❌,❌,❌,✅ Бауров+Сталев,✅ ITTF,✅ BCA/EBC,❌,Нет данных,✅ Спонсор ЧМ,Нет
Аудит сайтов,А: Покупатель (1-10),5,3,5,6,7,3,0,7,3,6,6,5,4,4,5,6,3,5,3,3,4,7
Аудит сайтов,Б: Маркетолог (1-10),2,2.5,4,6,6,3,0,7,3,5,5,4,2,3,5,5,3,4,2,2,4,6
Аудит сайтов,В: SEO (1-10),3,2.5,6,3,5,2,0,6,2,3,4,2,3,5,4,2,3,4,2,2,2,4
Аудит сайтов,Г: Продакт (1-10),2,2.5,5,5,6,2,0,6,3,5,5,4,3,3,4,5,2,6,2,2,3,6
Аудит сайтов,Итого (из 40),12,10.5,20,20,24,10,0,26,11,19,20,15,12,15,18,18,11,19,9,9,13,23
SEO-проблемы,Canonical,Отсутствует,Только товар,Есть,Отсутствует,Есть,Отсутствует,—,✅ Present,❌ Missing,❌ Missing,Отсутствует,Отсутствует,Отсутствует,✅ Есть,❌ Не найден,"⚠️ Есть, но без слеша",❌ Не обнаружен,⚠️ Стандарт Tilda,❌ Не обнаружен,❌ Отсутствует,⚠️ Не проверено (404),Нет данных
SEO-проблемы,Schema.org,"Микроданные (Product, Offer, Organization, BreadcrumbList); JSON-LD отсутствует; нет AggregateRating/Review.  Нет JSON-LD — только микроданные (Google предпочитает JSON-LD) Product schema без AggregateRating/Review — богатые сниппеты не появятся",Только Organization,JSON-LD (баги: OutOfStock + фейк-рейтинг),Отсутствует,Полностью отсутствует,Отсутствует,—,✅ Present (ld+json),❌ Missing,✅ Present (ld+json),Только WebPage,Полностью отсутствует,Полностью отсутствует,✅ WebPage + BreadcrumbList + WebSite,⚠️ Только WebSite + SearchAction,❌ Отсутствует,❌ Нет Product/Organization,❌ Нет Product,❌ Нет разметки,❌ Отсутствует,❌ Отсутствует,❌ Отсутствует
SEO-проблемы,404 на ключевых страницах," /kontakty/, /dostavka/, /oplata/, /garantiya/",Нет,"2 (/about/, /o-kompanii/)","4 (/o-kompanii/, /rassrochka/, /dostavka/)","3 (/about/, /delivery/, /oplata/)",3 (+ товары 500),Множество,Нет,"3+ (/about/, /bilyard/, /production/)","2 (/about/, /bilyardnye-stoly/)","3 (/bilyardnye-stoly/, /oplata/, /dostavka/)",2,4,3+,2,Все (Tilda),Массовые (бильярдный каталог),5+,Все 404 (каталог сломан),6+,Все 404 (каталог),Нет критич.
SEO-проблемы,HTML главной,HTML главной 908 КБ — критически тяжёлый,800 КБ (тяж.),947 КБ (крит.),442 КБ,438 КБ,Нет данных,—,194 КБ,244 КБ,625 КБ (крит.),583 КБ,221 КБ,546 КБ,185 КБ,509 КБ (крит.),94 КБ,Нет данных,Нет данных,Нет данных,Нет данных,Умеренный,Большой
SEO-проблемы,Критический SEO-баг,robots.txt блокирует ?-URL — пагинация каталога не индексируется. ,"no-scalable, HTML 800КБ","OutOfStock при «В наличии», фейковый рейтинг","H1 отсутствует, плейсхолдеры CITY_PP в title","H1 = акция, robots.txt блокирует каталог","Товары HTTP 500, H1 «О компании»","Tilda, нет индекс.",Нет «О компании» с контентом,"404, нет Schema","625KB, 404, нет canonical","Нет canonical, переспам Title",Meta desc = «Главная»,"Нет Schema, нет canonical",3+ страницы 404,"509KB, нет canonical",Tilda — не индексируется,"Title = «теннис», каталог сломан","Массовые 404, Tilda",Каталог сломан,Joomla 1.5,Каталог = лендинг (все 404),«О компании» = текст ПРО БАНК
UX и конверсия,Сегментация цен,Комфорт / Премиум,Эконом → Люкс,Эконом → Люкс,Эконом → Премиум,Комфорт / Премиум,Эконом → Премиум,Эконом / Комфорт,Эконом → Люкс,Эконом → Премиум,Эконом → Люкс,Эконом → Люкс,Комфорт → Люкс,Эконом → Люкс,Комфорт / Премиум,Эконом → Премиум,Комфорт / Премиум,Эконом / Комфорт,Премиум / Люкс,Эконом → Премиум,Комфорт / Премиум,Эконом → Люкс,Комфорт / Премиум
UX и конверсия,Оценка UX (1–10),4,8,6,7,7,5,5,8,4,6,6,5,5,4,5,4,3,5,2,2,2,7
UX и конверсия,Оценка дизайна (1–10),4,6,6.5,6,7,5,5.5,7,5,5,5,4,6,3,4,6,4,7,2,3,5,6
UX и конверсия,Кросс-блоки в карточке,«Ранее смотрели»,«Рекомендуем» + «С этим покупают» + «Ранее смотрели»,«С этим покупают» + «Ранее смотрели» + «Лучшие предложения»,«Ранее смотрели»,«Рекомендуем» + «Ранее смотрели»,«Похожие» (пусто),«Смотрите также» (Tilda),«Рекомендуемые аксессуары» + «Вам также» + «Ранее смотрели»,❓ Не проверено (404),«С этим покупают»,«С этим покупают» + «Ранее смотрели»,«Вам также» + «Рекомендуем» (только кии),❌ Нет,«Похожие» (WooCommerce),Сравнение + Избранное,«Также покупают» + «Доп. опции»,❌ Нет,❌ Нет,❌ Нет (404),❌ Нет,«Комнаты»,«Вам также» + «Рекомендуем» + «Ранее смотрели»
UX и конверсия,Страница «Команда»,❌,✅ (2014 фото + звёзды спорта),❌,❌,✅ (Сотрудники + мастера),❌,⚠️ (менеджеры в футере),❌,❌ (404),❌,❌,❌ («команда чемпионов» = спортсмены),❌,❌,❌,❌ (амбассадоры: Бауров+Сталев),❌,❌,❌,❌,❌,❌
UX и конверсия,Конверсионные триггеры,"14 дней обмен, доппроверка, сертификация, монтажники","«Сплит» рассрочка, Старт Бонус, 18 ЧМ, патенты, 30+ лет","Скидка 40%, рассрочка, «Письмо директору», старая цена","0-0-6 рассрочка, «Хочу скидку», «Нашли дешевле», 2 фабрики","35+ лет, ручная работа, итальянский сланец, кабинеты","3D-ракурс, широкий ассортимент","Рассрочка 0-0-12, подарок, скидка в WhatsApp, квиз","15К SKU, «Нашли дешевле», кешбэк, гарантия 25 лет, рассрочка","WA/TG, акции, огромный ассортимент","«Нашли дешевле», подарки к столам, YouTube-скидка -20%, 1 клик","Халва/Tinkoff, видеообзоры, подбор стола","ФБС СПб, 30 дней обмен, экспресс-доставка, «Нашли дешевле»","Гарантия лучшей цены, брендирование, портфолио (Газпром, Тинькофф)","Пакет (стол+2 кия+шары+сборка), бесплатная доставка","Бонусы, сертификаты, 350К+ клиентов, B2B","Бауров+Сталев, подбор кия 99%, 3 года гарантии, комбонабор","Бонус 300₽, Marquiz, ITTF","BCA/EBC, 3D-модели, СМИ (РБК, МатчТВ), «Обсудить проект»","Аренда столов, ремонт киев, выкуп б/у","Перетяжка по ФБСР, клуб 20+ лет","Комнаты от 1.36М, спонсор ЧМ","Пожизненная гарантия Арисова, 3D-тур, скидка 10% на 2-й кий"
UX и конверсия,Вакансии на сайте,❌,❌,❌,❌,✅,❌,❌,❌,❌ (404),❌,❌,❌,❌,❌,✅,❌,❌ (hh.ru),❌,❌,❌,❌,❌
UX и конверсия,Удобство фильтрации (1-10),6,7,Нет данных,7,7,6,Нет данных,8,Нет данных,Нет данных,6,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,
UX и конверсия,Подробность товара (1-10),8,9,Нет данных,8,8,6,Нет данных,8,Нет данных,Нет данных,6,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,
UX и конверсия,Аргументированность сайта (1-10),7,8,Нет данных,7,7,5,Нет данных,8,Нет данных,Нет данных,5,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,
UX и конверсия,Микросервисы на сайте,Нет микросервисов,"Конфигуратор стола (лучший), подбор -10%, Старт Бонус",Нет данных,"«Хочу скидку», рассрочка 0-0-6","Кабинеты под ключ, «Нашли дешевле»",3D-ракурс товара,Нет данных,"Бот-эксперт за 59 секунд, «Нашли дешевле — снизим цену», рассрочка, кешбэк",Нет данных,Нет данных,"Подбор стола (квиз), видеообзоры",Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Marquiz,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных
UX и конверсия,Юридические документы,Частично (политика конфиденциальности),"Да (политика конфиденциальности, оферта)",Нет данных,"Да (политика, оферта, реквизиты)","Да (реквизиты, политика)",Нет данных,Нет данных,"Да (юридические документы, «100% безопасная покупка»)",Нет данных,Нет данных,"Да (политика конфиденциальности, не публичная оферта)",Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,
Силы и уязвимости,Главная сила,Бесплатный монтаж турнирных столов + эксклюзив Rasson/Simonis,"Производственная независимость + спортивная экспертиза (ФБСР, 18 ЧМ)","Медиа-доминирование (670+ видео, 38К подписчиков)",Рассрочка 0-0-6 (4 банка) + «Хочу скидку» + 2 собств. фабрики,Таблица размеров + фильтр по классу + «с 1990»,Детальные фильтры (8 параметров),Ценовой демпинг (от 13 183 руб.),"Масштаб: 15К SKU, 300 брендов, гарантия до 25 лет, 8–10 салонов",Региональная сеть поддоменов; низкие цены (от 14 990),Глубокая специализация; богатый сервис; «Нашли дешевле»,"2000+ SKU, рассрочка Халва/Tinkoff, видеообзоры",Собств. пр-во «Легенда» + ФБС СПб + ТВ-охват 2М+,Явная сегментация (Игровые/Любительские/Проф); конфигуратор,Пакеты (стол+2 кия+шары+сборка); бесплатная доставка,"50К SKU, 2000+ самовывоз, B2B/B2G, вакансии",Бауров + Сталев; подбор кия 99%; 3 года гарантии; лучший cross-sell,Собств. пр-во 15К кв.м. → низкие цены (от 43К); ITTF,Премиум 300К–3.5М; BCA/EBC; 35 лет; авторский дизайн,Аренда столов (от 6К); ремонт киев; выкуп б/у,Бильярдный клуб; 20+ лет; перетяжка по стандартам ФБСР,Верт. интеграция через Руптур-ПРО; комнаты от 1.36М,Нишевая экспертиза в киях; пожизненная гарантия Арисова; 3D-тур
Силы и уязвимости,Главная уязвимость,"Дефицит видеоконтента, нет рассрочки/чата/1 клик, 4 страницы 404",Нет рассрочки при чеках до 2М; бюрократизация; сайт тяжёлый,Зависимость от фабрик; фейковый Schema-рейтинг; сайт 947 КБ,"Логистические разрывы, отмены заказов; H1 отсутствует",Технологическое отставание; H1 = акция; нет Schema,Товары HTTP 500; H1 «О компании»; неконкурентоспособен,Tilda — нет e-commerce; «Купить» ведёт на tableplay.ru; не наш сегмент,Устаревший дизайн; перегруженный каталог; слабое видео,Бильярд — сломан (404); негативные отзывы; DDoS-Guard,HTML 625KB; 404 на ключевых страницах; нет выставочного зала,Нет YouTube; нет canonical; критические 404; нет собств. пр-ва,Катастроф. SEO; кастомная CMS; нет рассрочки; только СПб,7 подписчиков YouTube; нет чата/рассрочки; нет кросс-селл,3 из 4 URL = 404; устаревший WooCommerce; только Тюмень,Бильярд — маргинальная категория; 509KB HTML; нет canonical,Tilda — технологический тупик; все подстраницы 404,Бильярдный каталог сломан (404); бильярд — не фокус,Tilda без e-commerce; нет онлайн-продаж; SEO ограничен,Сайт мёртв: каталог 404; нельзя купить онлайн,Сайт в руинах: Joomla 1.5; 6+ страниц 404,Весь каталог 404; сайт = лендинг главной,«О компании» = текст про банк; нет каталога столов
Силы и уязвимости,Что Weekend может использовать,—,Перехватить D2C-премиум: предложить рассрочку + бесплатный монтаж + живой чат,Запустить видеоконтент-конвейер; использовать баги Schema для перехвата выдачи,Mystery Shopping: задокументировать отмены; противопоставить реальный склад + монтаж,Перехват мобильного трафика через Mobile-First; внедрить Schema JSON-LD,Не является реальной угрозой в текущем состоянии,Не прямой конкурент; подчеркнуть экспертность Weekend vs «коробочные» решения,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных